https://wiki.gtanet.work/index.php?title=Peds
A_C_Boar = 3462393972,0xCE5FF074
A_C_Chickenhawk = 2864127842,0xAAB71F62
A_C_Chimp = 2825402133,0xA8683715
A_C_Chop = 351016938,0x14EC17EA
A_C_Cormorant = 1457690978,0x56E29962
A_C_Cow = 4244282910,0xFCFA9E1E
A_C_Coyote = 1682622302,0x644AC75E
A_C_Crow = 402729631,0x18012A9F
A_C_Deer = 3630914197,0xD86B5A95
A_C_Fish = 802685111,0x2FD800B7
A_C_Hen = 1794449327,0x6AF51FAF
A_C_Husky = 1318032802,0x4E8F95A2
A_C_MtLion = 307287994,0x1250D7BA
A_C_Pig = 2971380566,0xB11BAB56
A_C_Pigeon = 111281960,0x06A20728
A_C_Rat = 3283429734,0xC3B52966
A_C_Retriever = 882848737,0x349F33E1
A_C_Rhesus = 3268439891,0xC2D06F53
A_C_Rottweiler = 2506301981,0x9563221D
A_C_Seagull = 3549666813,0xD3939DFD
A_C_SharkTiger = 113504370,0x06C3F072
A_C_shepherd = 1126154828,0x431FC24C
A_F_M_Beach_01 = 808859815,0x303638A7
A_F_M_BevHills_01 = 3188223741,0xBE086EFD
A_F_M_BevHills_02 = 2688103263,0xA039335F
A_F_M_BodyBuild_01 = 1004114196,0x3BD99114
A_F_M_Business_02 = 532905404,0x1FC37DBC
A_F_M_Downtown_01 = 1699403886,0x654AD86E
A_F_M_EastSA_01 = 2638072698,0x9D3DCB7A
A_F_M_EastSA_02 = 1674107025,0x63C8D891
A_F_M_FatBla_01 = 4206136267,0xFAB48BCB
A_F_M_FatCult_01 = 3050275044,0xB5CF80E4
A_F_M_FatWhite_01 = 951767867,0x38BAD33B
A_F_M_KTown_01 = 1388848350,0x52C824DE
A_F_M_KTown_02 = 1090617681,0x41018151
A_F_M_ProlHost_01 = 379310561,0x169BD1E1
A_F_M_Salton_01 = 3725461865,0xDE0E0969
A_F_M_SkidRow_01 = 2962707003,0xB097523B
A_F_M_SouCentMC_01 = 3454621138,0xCDE955D2
A_F_M_SouCent_01 = 1951946145,0x745855A1
A_F_M_SouCent_02 = 4079145784,0xF322D338
A_F_M_Tourist_01 = 1347814329,0x505603B9
A_F_M_TrampBeac_01 = 2359345766,0x8CA0C266
A_F_M_Tramp_01 = 1224306523,0x48F96F5B
A_F_O_GenStreet_01 = 1640504453,0x61C81C85
A_F_O_Indian_01 = 3134700416,0xBAD7BB80
A_F_O_KTown_01 = 1204772502,0x47CF5E96
A_F_O_Salton_01 = 3439295882,0xCCFF7D8A
A_F_O_SouCent_01 = 1039800368,0x3DFA1830
A_F_O_SouCent_02 = 2775443222,0xA56DE716
A_F_Y_Beach_01 = 3349113128,0xC79F6928
A_F_Y_BevHills_01 = 1146800212,0x445AC854
A_F_Y_BevHills_02 = 1546450936,0x5C2CF7F8
A_F_Y_BevHills_03 = 549978415,0x20C8012F
A_F_Y_BevHills_04 = 920595805,0x36DF2D5D
A_F_Y_Business_01 = 664399832,0x2799EFD8
A_F_Y_Business_02 = 826475330,0x31430342
A_F_Y_Business_03 = 2928082356,0xAE86FDB4
A_F_Y_Business_04 = 3083210802,0xB7C61032
A_F_Y_EastSA_01 = 4121954205,0xF5B0079D
A_F_Y_EastSA_02 = 70821038,0x0438A4AE
A_F_Y_EastSA_03 = 1371553700,0x51C03FA4
A_F_Y_Epsilon_01 = 1755064960,0x689C2A80
A_F_Y_Fitness_01 = 1165780219,0x457C64FB
A_F_Y_Fitness_02 = 331645324,0x13C4818C
A_F_Y_GenHot_01 = 793439294,0x2F4AEC3E
A_F_Y_Golfer_01 = 2111372120,0x7DD8FB58
A_F_Y_Hiker_01 = 813893651,0x30830813
A_F_Y_Hippie_01 = 343259175,0x1475B827
A_F_Y_Hipster_01 = 2185745201,0x8247D331
A_F_Y_Hipster_02 = 2549481101,0x97F5FE8D
A_F_Y_Hipster_03 = 2780469782,0xA5BA9A16
A_F_Y_Hipster_04 = 429425116,0x199881DC
A_F_Y_Indian_01 = 153984193,0x092D9CC1
A_F_Y_Juggalo_01 = 3675473203,0xDB134533
A_F_Y_Runner_01 = 3343476521,0xC7496729
A_F_Y_RurMeth_01 = 1064866854,0x3F789426
A_F_Y_SCDressy_01 = 3680420864,0xDB5EC400
A_F_Y_Skater_01 = 1767892582,0x695FE666
A_F_Y_SouCent_01 = 744758650,0x2C641D7A
A_F_Y_SouCent_02 = 1519319503,0x5A8EF9CF
A_F_Y_SouCent_03 = 2276611093,0x87B25415
A_F_Y_Tennis_01 = 1426880966,0x550C79C6
A_F_Y_Topless_01 = 2633130371,0x9CF26183
A_F_Y_Tourist_01 = 1446741360,0x563B8570
A_F_Y_Tourist_02 = 2435054400,0x9123FB40
A_F_Y_Vinewood_01 = 435429221,0x19F41F65
A_F_Y_Vinewood_02 = 3669401835,0xDAB6A0EB
A_F_Y_Vinewood_03 = 933092024,0x379DDAB8
A_F_Y_Vinewood_04 = 4209271110,0xFAE46146
A_F_Y_Yoga_01 = 3290105390,0xC41B062E
A_M_M_ACult_01 = 1413662315,0x5442C66B
A_M_M_AfriAmer_01 = 3513928062,0xD172497E
A_M_M_Beach_01 = 1077785853,0x403DB4FD
A_M_M_Beach_02 = 2021631368,0x787FA588
A_M_M_BevHills_01 = 1423699487,0x54DBEE1F
A_M_M_BevHills_02 = 1068876755,0x3FB5C3D3
A_M_M_Business_01 = 2120901815,0x7E6A64B7
A_M_M_EastSA_01 = 4188468543,0xF9A6F53F
A_M_M_EastSA_02 = 131961260,0x07DD91AC
A_M_M_Farmer_01 = 2488675799,0x94562DD7
A_M_M_FatLatin_01 = 1641152947,0x61D201B3
A_M_M_GenFat_01 = 115168927,0x06DD569F
A_M_M_GenFat_02 = 330231874,0x13AEF042
A_M_M_Golfer_01 = 2850754114,0xA9EB0E42
A_M_M_HasJew_01 = 1809430156,0x6BD9B68C
A_M_M_Hillbilly_01 = 1822107721,0x6C9B2849
A_M_M_Hillbilly_02 = 2064532783,0x7B0E452F
A_M_M_Indian_01 = 3721046572,0xDDCAAA2C
A_M_M_KTown_01 = 3512565361,0xD15D7E71
A_M_M_Malibu_01 = 803106487,0x2FDE6EB7
A_M_M_MexCntry_01 = 3716251309,0xDD817EAD
A_M_M_MexLabor_01 = 2992445106,0xB25D16B2
A_M_M_OG_Boss_01 = 1746653202,0x681BD012
A_M_M_Paparazzi_01 = 3972697109,0xECCA8C15
A_M_M_Polynesian_01 = 2849617566,0xA9D9B69E
A_M_M_ProlHost_01 = 2534589327,0x9712C38F
A_M_M_RurMeth_01 = 1001210244,0x3BAD4184
A_M_M_Salton_01 = 1328415626,0x4F2E038A
A_M_M_Salton_02 = 1626646295,0x60F4A717
A_M_M_Salton_03 = 2995538501,0xB28C4A45
A_M_M_Salton_04 = 2521108919,0x964511B7
A_M_M_Skater_01 = 3654768780,0xD9D7588C
A_M_M_Skidrow_01 = 32417469,0x01EEA6BD
A_M_M_SoCenLat_01 = 193817059,0x0B8D69E3
A_M_M_SouCent_01 = 1750583735,0x6857C9B7
A_M_M_SouCent_02 = 2674735073,0x9F6D37E1
A_M_M_SouCent_03 = 2346291386,0x8BD990BA
A_M_M_SouCent_04 = 3271294718,0xC2FBFEFE
A_M_M_StLat_02 = 3265820418,0xC2A87702
A_M_M_Tennis_01 = 1416254276,0x546A5344
A_M_M_Tourist_01 = 3365863812,0xC89F0184
A_M_M_TrampBeac_01 = 1404403376,0x53B57EB0
A_M_M_Tramp_01 = 516505552,0x1EC93FD0
A_M_M_TranVest_01 = 3773208948,0xE0E69974
A_M_M_TranVest_02 = 4144940484,0xF70EC5C4
A_M_O_ACult_01 = 1430544400,0x55446010
A_M_O_ACult_02 = 1268862154,0x4BA14CCA
A_M_O_Beach_01 = 2217202584,0x8427D398
A_M_O_GenStreet_01 = 2908022696,0xAD54E7A8
A_M_O_KTown_01 = 355916122,0x1536D95A
A_M_O_Salton_01 = 539004493,0x20208E4D
A_M_O_SouCent_01 = 718836251,0x2AD8921B
A_M_O_SouCent_02 = 1082572151,0x4086BD77
A_M_O_SouCent_03 = 238213328,0x0E32D8D0
A_M_O_Tramp_01 = 390939205,0x174D4245
A_M_Y_ACult_01 = 3043264555,0xB564882B
A_M_Y_ACult_02 = 2162532142,0x80E59F2E
A_M_Y_BeachVesp_01 = 2114544056,0x7E0961B8
A_M_Y_BeachVesp_02 = 3394697810,0xCA56FA52
A_M_Y_Beach_01 = 3523131524,0xD1FEB884
A_M_Y_Beach_02 = 600300561,0x23C7DC11
A_M_Y_Beach_03 = 3886638041,0xE7A963D9
A_M_Y_BevHills_01 = 1982350912,0x76284640
A_M_Y_BevHills_02 = 1720428295,0x668BA707
A_M_Y_BreakDance_01 = 933205398,0x379F9596
A_M_Y_BusiCas_01 = 2597531625,0x9AD32FE9
A_M_Y_Business_01 = 3382649284,0xC99F21C4
A_M_Y_Business_02 = 3014915558,0xB3B3F5E6
A_M_Y_Business_03 = 2705543429,0xA1435105
A_M_Y_Cyclist_01 = 4257633223,0xFDC653C7
A_M_Y_DHill_01 = 4282288299,0xFF3E88AB
A_M_Y_Downtown_01 = 766375082,0x2DADF4AA
A_M_Y_EastSA_01 = 2756120947,0xA4471173
A_M_Y_EastSA_02 = 377976310,0x168775F6
A_M_Y_Epsilon_01 = 2010389054,0x77D41A3E
A_M_Y_Epsilon_02 = 2860711835,0xAA82FF9B
A_M_Y_Gay_01 = 3519864886,0xD1CCE036
A_M_Y_Gay_02 = 2775713665,0xA5720781
A_M_Y_GenStreet_01 = 2557996913,0x9877EF71
A_M_Y_GenStreet_02 = 891398354,0x3521A8D2
A_M_Y_Golfer_01 = 3609190705,0xD71FE131
A_M_Y_HasJew_01 = 3782053633,0xE16D8F01
A_M_Y_Hiker_01 = 1358380044,0x50F73C0C
A_M_Y_Hippy_01 = 2097407511,0x7D03E617
A_M_Y_Hipster_01 = 587703123,0x2307A353
A_M_Y_Hipster_02 = 349505262,0x14D506EE
A_M_Y_Hipster_03 = 1312913862,0x4E4179C6
A_M_Y_Indian_01 = 706935758,0x2A22FBCE
A_M_Y_Jetski_01 = 767028979,0x2DB7EEF3
A_M_Y_Juggalo_01 = 2445950508,0x91CA3E2C
A_M_Y_KTown_01 = 452351020,0x1AF6542C
A_M_Y_KTown_02 = 696250687,0x297FF13F
A_M_Y_Latino_01 = 321657486,0x132C1A8E
A_M_Y_MethHead_01 = 1768677545,0x696BE0A9
A_M_Y_MexThug_01 = 810804565,0x3053E555
A_M_Y_MotoX_01 = 1694362237,0x64FDEA7D
A_M_Y_MotoX_02 = 2007797722,0x77AC8FDA
